word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
solely	soxli	6.464367726401087	3	2949	sox	9.558237979272882	li	0.6292405378534742	1
spatula	sp@CUlV	10.764351098854867	3	3181	sp@	6.624576840022205	CUlV	2.321928094887362	0
spangle	sp@Ngxl	8.312387032113845	6	3191	sp@Ngx	9.73809225962049	l	0.9933501369082647	0
spangled	sp@Ngxld	7.373609101905703	7	3191	sp@Ngxl	10.835260918627489	d	1.0782899628472473	-1
spank	sp@Nk	10.49628635021904	4	3187	sp@N	9.008428622070582	k	1.389232030394151	0
spanking	sp@NkxN	9.534661520604464	5	3187	sp@Nk	10.46862404291802	xN	0.9608545890204996	0
spam	sp@m	9.226525873388919	3	3181	sp@	6.624576840022205	m	1.741999788885468	0
span	sp@n	6.621239816254377	3	3185	sp@	6.624576840022205	n	1.1019361665300267	0
spanner	sp@nR	6.212877962105453	4	3185	sp@n	3.840860510418277	R	1.0987519712878187	1
spandex	sp@ndxks	8.867629688099305	4	3185	sp@n	3.840860510418277	dxks	1.5849625007211563	-1
spaniel	sp@nyxl	4.271232241049721	4	3185	sp@n	3.840860510418277	yxl	1.292481250360578	0
spastic	sp@stxk	10.210821724511545	3	3181	sp@	6.624576840022205	stxk	1.0733419459849431	1
spat	sp@t	8.841916046284306	3	3183	sp@	6.624576840022205	t	1.0589451792400202	0
spatter	sp@tR	6.402904448271985	4	3183	sp@t	10.522581531254831	R	1.0987519712878187	0
spasmodic	sp@zmcdxk	5.313766942236396	4	3183	sp@z	2.3502198590705463	mcdxk	1.0	1
spasm	sp@zxm	7.079411598015024	4	3183	sp@z	2.3502198590705463	xm	0.7148062500277367	0
speciality	spESi@lxti	8.744519657167203	4	3218	spES	2.321928094887362	i@lxti	0.2	1
special	spESxl	6.87369468544821	5	3232	spESx	9.73809225962049	l	0.9933501369082647	0
specialize	spESxlYz	9.135213765361028	7	3236	spESxlY	7.94251450533924	z	1.0124623526393457	1
specialized	spESxlYzd	9.13857687052919	8	3236	spESxlYz	10.835260918627489	d	1.0782899628472473	0
specially	spESxli	9.028840494551792	6	3232	spESxl	8.103430871418563	i	1.0037427799968084	1
specialty	spESxlti	8.481842347514597	6	3232	spESxl	8.103430871418563	ti	0.9757013096288111	1
specialist	spESxlxst	5.862983303178966	7	3234	spESxlx	4.830889048885994	st	1.071565497825257	1
specialization	spESxlxzeSxn	9.92990713616693	7	3234	spESxlx	4.830889048885994	zeSxn	1.0	1
